"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2025","57.89","57.99","58.04","57.51","204.32K","0.09%"
"02/17/2025","57.84","57.06","57.92","56.90","486.82K","1.58%"
"02/14/2025","56.94","57.64","58.04","56.82","844.05K","-1.04%"
"02/13/2025","57.54","55.00","57.76","55.00","2.07M","4.50%"
"02/12/2025","55.06","55.72","55.98","54.98","1.38M","-1.04%"
"02/11/2025","55.64","56.04","56.28","55.36","1.08M","-1.63%"
"02/10/2025","56.56","55.80","56.64","55.60","1.21M","1.80%"
"02/07/2025","55.56","56.92","58.14","55.08","3.59M","-7.15%"
"02/06/2025","59.84","59.34","59.96","58.72","605.11K","0.91%"
"02/05/2025","59.30","59.62","59.96","58.12","643.76K","-1.17%"
"02/04/2025","60.00","59.34","60.34","58.92","555.59K","0.87%"
"02/03/2025","59.48","59.10","59.90","58.20","958.20K","-3.50%"
"01/31/2025","61.64","62.20","62.62","61.64","426.76K","-0.68%"
"01/30/2025","62.06","61.44","62.18","61.00","430.14K","1.07%"
"01/29/2025","61.40","61.94","62.06","61.02","380.07K","-0.52%"
"01/28/2025","61.72","62.72","63.32","61.62","422.02K","-1.72%"
"01/27/2025","62.80","62.06","63.26","61.72","519.80K","1.91%"
"01/24/2025","61.62","60.68","62.46","60.54","843.64K","2.70%"
"01/23/2025","60.00","59.70","60.00","59.06","530.42K","0.27%"
"01/22/2025","59.84","59.24","60.18","58.88","1.04M","-2.35%"
"01/21/2025","61.28","61.50","61.70","60.44","607.88K","-0.68%"
"01/20/2025","61.70","61.20","62.90","60.16","722.98K","1.15%"
"01/17/2025","61.00","61.40","62.10","61.00","528.79K","0.07%"
"01/16/2025","60.96","61.58","62.26","60.96","431.69K","-0.26%"
"01/15/2025","61.12","60.22","61.28","59.30","582.53K","2.45%"
"01/14/2025","59.66","60.10","61.26","59.48","410.11K","-0.10%"
"01/13/2025","59.72","59.44","61.12","59.44","692.03K","1.43%"
"01/10/2025","58.88","59.30","60.06","57.68","677.39K","-1.14%"
"01/09/2025","59.56","59.44","59.82","59.02","281.18K","-0.53%"
"01/08/2025","59.88","60.52","61.48","59.40","615.92K","-1.64%"
"01/07/2025","60.88","59.56","61.28","59.20","474.80K","2.01%"
"01/06/2025","59.68","58.00","62.14","57.78","1.30M","4.15%"
"01/03/2025","57.30","58.28","58.80","57.18","349.48K","-1.58%"
"01/02/2025","58.22","58.20","58.54","57.18","458.18K","-0.34%"
"12/30/2024","58.42","57.92","58.42","57.62","223.53K","0.38%"
"12/27/2024","58.20","57.80","58.48","57.62","399.34K","0.34%"
"12/23/2024","58.00","58.56","58.66","57.16","370.33K","-1.06%"
"12/20/2024","58.62","58.30","58.64","57.90","716.82K","-0.27%"
"12/19/2024","58.78","58.20","60.28","58.06","564.22K","-0.44%"
"12/18/2024","59.04","59.86","60.00","58.90","540.82K","-0.74%"
"12/17/2024","59.48","58.60","59.70","58.50","574.37K","0.41%"
"12/16/2024","59.24","59.90","60.24","58.16","694.83K","-2.41%"
