"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2025","42.05","42.67","42.67","41.51","517.91K","-4.43%"
"02/12/2025","44.00","43.43","44.37","43.26","944.29K","8.64%"
"02/11/2025","40.50","41.06","41.19","40.50","477.06K","-3.57%"
"02/10/2025","42.00","41.18","42.22","40.96","1.03M","2.66%"
"02/07/2025","40.91","40.88","41.20","40.32","1.04M","6.76%"
"02/06/2025","38.32","38.50","38.98","38.17","1.50M","9.27%"
"02/05/2025","35.07","34.76","35.19","34.67","125.06K","-1.43%"
"02/04/2025","35.58","35.13","35.68","35.13","368.36K","4.34%"
"02/03/2025","34.10","34.13","34.60","33.80","331.93K","1.22%"
"01/31/2025","33.69","34.39","34.49","33.61","138.43K","-1.66%"
"01/30/2025","34.26","33.99","34.50","33.66","123.47K","1.06%"
"01/29/2025","33.90","33.69","34.27","33.69","128.92K","0.00%"
"01/28/2025","33.90","33.44","33.90","33.25","112.30K","1.19%"
"01/27/2025","33.50","33.56","33.79","32.74","307.23K","-0.68%"
"01/24/2025","33.73","33.67","33.83","33.36","97.43K","1.14%"
"01/23/2025","33.35","33.36","33.58","33.15","101.58K","-2.49%"
"01/22/2025","34.20","34.13","34.20","33.86","169.35K","1.00%"
"01/21/2025","33.86","34.55","34.57","33.66","336.69K","-0.41%"
"01/20/2025","34.00","34.03","34.55","33.13","406.76K","2.66%"
"01/17/2025","33.12","32.85","33.32","32.56","225.96K","2.54%"
"01/16/2025","32.30","32.34","32.59","32.23","94.05K","-0.58%"
"01/15/2025","32.49","32.17","32.49","32.00","128.34K","1.40%"
"01/14/2025","32.04","32.19","32.30","31.90","100.33K","2.59%"
"01/13/2025","31.23","31.22","31.39","31.01","144.89K","0.42%"
"01/10/2025","31.10","31.43","31.57","31.10","155.98K","-2.78%"
"01/09/2025","31.99","31.98","32.07","31.83","39.61K","1.01%"
"01/08/2025","31.67","31.64","31.89","31.51","135.50K","-1.95%"
"01/07/2025","32.30","31.93","32.35","31.76","129.72K","1.19%"
"01/06/2025","31.92","32.00","32.70","31.70","308.03K","-2.56%"
"01/03/2025","32.76","32.24","32.94","32.06","331.59K","0.68%"
"01/02/2025","32.54","32.00","32.79","31.78","335.64K","-1.42%"
"12/30/2024","33.01","33.20","33.36","33.01","73.04K","-1.99%"
"12/27/2024","33.68","33.65","33.99","33.55","179.00K","1.08%"
"12/23/2024","33.32","33.31","33.42","33.06","139.35K","0.36%"
"12/20/2024","33.20","33.28","33.29","32.36","199.63K","-0.30%"
"12/19/2024","33.30","33.29","33.44","32.96","96.25K","1.96%"
"12/18/2024","32.66","33.21","33.27","32.64","110.42K","-1.63%"
"12/17/2024","33.20","32.67","33.20","32.43","158.80K","4.73%"
"12/16/2024","31.70","32.22","32.57","31.70","225.13K","-3.97%"
"12/13/2024","33.01","33.15","33.29","32.81","172.48K","-3.20%"
"12/12/2024","34.10","34.22","34.42","33.71","226.42K","1.94%"
"12/11/2024","33.45","33.39","33.59","33.28","200.22K","0.18%"
"12/10/2024","33.39","33.34","33.54","33.06","308.56K","-2.31%"
"12/09/2024","34.18","32.30","34.76","32.30","570.37K","5.92%"
"12/06/2024","32.27","32.23","32.39","32.11","195.18K","3.70%"
"12/05/2024","31.12","31.19","31.37","31.04","172.20K","-1.43%"
"12/04/2024","31.57","31.85","31.94","31.52","171.97K","-1.03%"
"12/03/2024","31.90","32.02","32.24","31.87","142.48K","-0.81%"
"12/02/2024","32.16","31.67","32.16","31.66","260.19K","3.08%"
"11/29/2024","31.20","30.52","31.54","30.50","216.23K","2.40%"
"11/28/2024","30.47","30.50","30.77","30.29","290.55K","-3.58%"
"11/27/2024","31.60","31.34","31.64","31.23","141.63K","0.93%"
"11/26/2024","31.31","31.41","31.55","30.82","326.55K","-1.20%"
"11/25/2024","31.69","31.67","31.94","31.63","196.70K","-1.03%"
"11/22/2024","32.02","31.74","32.17","31.12","306.88K","-0.62%"
"11/21/2024","32.22","32.24","32.39","31.97","167.19K","0.09%"
"11/20/2024","32.19","32.23","32.24","31.95","194.82K","-0.49%"
"11/19/2024","32.35","32.45","32.59","32.21","105.38K","-0.55%"
"11/18/2024","32.53","32.37","32.67","32.26","157.79K","0.81%"
"11/15/2024","32.27","32.11","32.39","31.55","319.31K","0.22%"
"11/14/2024","32.20","32.46","32.49","32.04","238.96K","-2.19%"
"11/13/2024","32.92","33.19","33.44","32.91","223.37K","0.37%"
"11/12/2024","32.80","33.04","33.13","32.71","236.64K","-1.65%"
"11/11/2024","33.35","33.18","33.45","33.01","204.67K","1.71%"
"11/08/2024","32.79","33.37","33.44","32.53","398.56K","-4.37%"
"11/07/2024","34.29","33.30","34.32","33.24","242.58K","2.91%"
"11/06/2024","33.32","33.76","33.98","32.41","961.02K","-3.08%"
"11/05/2024","34.38","34.52","34.69","34.30","233.36K","1.48%"
"11/04/2024","33.88","34.01","34.14","33.60","246.76K","1.22%"
"11/01/2024","33.47","32.80","33.48","32.49","400.02K","-0.98%"
"10/31/2024","33.80","33.50","34.20","33.01","515.83K","-4.79%"
"10/30/2024","35.50","35.20","35.63","33.87","426.11K","0.85%"
"10/29/2024","35.20","35.23","35.74","35.18","235.86K","-0.73%"
"10/28/2024","35.46","35.05","35.68","34.90","555.64K","2.10%"
"10/25/2024","34.73","34.70","34.89","34.44","540.98K","2.00%"
"10/24/2024","34.05","34.03","34.20","33.57","208.67K","0.41%"
"10/23/2024","33.91","34.40","34.54","33.91","232.09K","-0.73%"
"10/22/2024","34.16","33.96","34.19","33.71","183.34K","0.09%"
"10/21/2024","34.13","34.01","34.21","33.82","352.85K","0.38%"
"10/18/2024","34.00","33.74","34.29","33.55","385.45K","6.72%"
"10/17/2024","31.86","32.51","32.60","31.63","510.33K","-1.39%"
"10/16/2024","32.31","32.01","32.37","31.83","256.02K","1.70%"
"10/15/2024","31.77","32.85","32.85","31.71","730.18K","-6.26%"
