"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2025","473.50","467.40","474.00","464.20","234.57K","2.49%"
"02/12/2025","462.00","460.00","465.80","458.50","402.94K","0.65%"
"02/11/2025","459.00","447.80","460.00","446.80","511.19K","3.40%"
"02/10/2025","443.90","435.20","444.70","434.70","323.24K","2.05%"
"02/07/2025","435.00","443.20","447.20","433.70","403.71K","-2.73%"
"02/06/2025","447.20","448.00","450.70","443.20","304.22K","0.77%"
"02/05/2025","443.80","441.40","445.50","434.40","493.28K","-1.09%"
"02/04/2025","448.70","414.80","453.70","408.60","1.24M","8.04%"
"02/03/2025","415.30","405.00","416.30","403.60","401.92K","-0.31%"
"01/31/2025","416.60","415.10","418.90","414.00","287.17K","0.94%"
"01/30/2025","412.70","415.30","415.30","407.60","347.89K","0.10%"
"01/29/2025","412.30","415.00","415.20","408.80","249.96K","0.49%"
"01/28/2025","410.30","412.30","418.20","405.20","338.98K","0.44%"
"01/27/2025","408.50","411.00","412.10","402.30","439.47K","-0.61%"
"01/24/2025","411.00","412.00","414.50","409.20","299.78K","0.44%"
"01/23/2025","409.20","415.30","416.70","407.20","447.85K","-1.85%"
"01/22/2025","416.90","421.50","424.50","415.80","308.38K","-0.74%"
"01/21/2025","420.00","421.00","423.80","418.40","286.34K","-0.45%"
"01/20/2025","421.90","424.60","427.80","420.50","209.07K","-0.57%"
"01/17/2025","424.30","420.10","427.20","419.60","298.50K","1.00%"
"01/16/2025","420.10","422.30","428.10","419.80","294.24K","0.36%"
"01/15/2025","418.60","410.00","420.30","408.40","274.62K","1.92%"
"01/14/2025","410.70","411.00","414.70","408.70","323.92K","0.93%"
"01/13/2025","406.90","415.10","415.60","402.60","404.11K","-2.77%"
"01/10/2025","418.50","419.70","425.80","418.20","244.65K","-0.36%"
"01/09/2025","420.00","417.80","422.10","417.10","150.42K","-0.05%"
"01/08/2025","420.20","414.20","420.20","412.70","287.68K","1.25%"
"01/07/2025","415.00","414.00","416.50","408.80","253.35K","0.90%"
"01/06/2025","411.30","407.60","415.70","406.60","274.88K","1.48%"
"01/03/2025","405.30","407.90","410.00","400.50","243.58K","-0.95%"
"01/02/2025","409.20","410.20","411.50","402.90","258.74K","-0.78%"
"12/30/2024","412.40","411.70","414.80","409.20","157.17K","-0.58%"
"12/27/2024","414.80","411.80","414.80","406.60","175.64K","1.62%"
"12/23/2024","408.20","408.20","410.60","406.40","162.86K","-0.83%"
"12/20/2024","411.60","405.10","412.80","403.20","492.00K","0.68%"
"12/19/2024","408.80","411.50","418.50","406.40","382.96K","-1.54%"
"12/18/2024","415.20","415.50","417.00","411.50","313.38K","0.12%"
"12/17/2024","414.70","415.20","417.30","411.50","283.44K","-1.33%"
"12/16/2024","420.30","430.40","432.30","418.60","302.99K","-2.60%"
"12/13/2024","431.50","433.30","438.20","430.90","236.03K","0.09%"
"12/12/2024","431.10","427.00","433.40","427.00","182.36K","0.70%"
"12/11/2024","428.10","425.00","428.80","423.20","232.65K","0.73%"
"12/10/2024","425.00","425.20","428.20","424.20","206.18K","-0.58%"
"12/09/2024","427.50","435.70","436.10","425.20","257.14K","-1.11%"
"12/06/2024","432.30","420.10","432.80","420.10","269.63K","2.17%"
"12/05/2024","423.10","424.50","426.40","421.70","256.65K","-0.33%"
"12/04/2024","424.50","423.30","428.50","418.50","226.30K","0.66%"
"12/03/2024","421.70","416.20","423.20","416.20","228.69K","1.20%"
"12/02/2024","416.70","410.00","417.60","406.90","234.01K","1.21%"
"11/29/2024","411.70","407.50","411.70","406.20","195.69K","0.73%"
"11/28/2024","408.70","412.00","412.70","407.20","132.34K","-0.41%"
"11/27/2024","410.40","410.90","417.80","406.30","194.15K","-0.48%"
"11/26/2024","412.40","412.20","413.90","409.40","224.80K","-1.27%"
"11/25/2024","417.70","422.90","424.20","415.80","399.61K","-0.12%"
"11/22/2024","418.20","410.20","418.40","407.10","312.98K","2.17%"
"11/21/2024","409.30","404.90","409.60","400.00","194.59K","1.21%"
"11/20/2024","404.40","407.70","408.60","400.80","195.45K","-0.49%"
"11/19/2024","406.40","411.50","411.60","401.50","329.24K","-0.88%"
"11/18/2024","410.00","407.90","412.70","404.30","275.91K","-0.24%"
"11/15/2024","411.00","414.30","418.20","410.70","243.56K","-1.82%"
"11/14/2024","418.60","415.00","420.70","413.10","222.51K","0.58%"
"11/13/2024","416.20","410.10","416.20","407.70","269.78K","0.77%"
"11/12/2024","413.00","423.20","426.40","413.00","369.42K","-3.37%"
"11/11/2024","427.40","428.00","429.30","424.00","209.00K","1.35%"
"11/08/2024","421.70","417.80","421.70","413.20","243.97K","1.08%"
"11/07/2024","417.20","413.00","422.50","408.60","359.59K","2.31%"
"11/06/2024","407.80","416.00","420.70","404.40","696.84K","0.20%"
"11/05/2024","407.00","440.00","440.00","406.40","1.14M","-7.06%"
"11/04/2024","437.90","440.00","445.70","437.80","234.80K","-0.77%"
"11/01/2024","441.30","437.30","444.40","436.80","238.72K","0.34%"
"10/31/2024","439.80","438.10","442.80","436.20","317.47K","-0.90%"
"10/30/2024","443.80","451.00","451.20","440.70","290.24K","-1.79%"
"10/29/2024","451.90","453.90","456.70","450.80","216.83K","-0.29%"
"10/28/2024","453.20","454.80","456.10","450.40","229.76K","0.69%"
"10/25/2024","450.10","449.50","451.60","446.70","216.06K","0.87%"
"10/24/2024","446.20","447.40","451.80","445.50","304.67K","-0.11%"
"10/23/2024","446.70","442.50","448.40","441.30","207.91K","0.68%"
"10/22/2024","443.70","441.20","444.60","439.40","217.63K","0.61%"
"10/21/2024","441.00","444.00","446.50","441.00","220.40K","-0.52%"
"10/18/2024","443.30","445.20","448.80","441.40","296.13K","0.02%"
"10/17/2024","443.20","435.40","445.00","434.70","350.46K","2.14%"
"10/16/2024","433.90","432.90","437.20","430.20","247.15K","-0.34%"
"10/15/2024","435.40","439.10","442.60","434.20","365.63K","-0.41%"
"10/14/2024","437.20","430.20","438.60","429.40","336.03K","2.44%"
"10/11/2024","426.80","415.70","426.80","412.10","379.97K","2.60%"
"10/10/2024","416.00","414.80","417.00","412.00","198.64K","-0.79%"
"10/09/2024","419.30","419.00","420.70","415.40","212.73K","0.55%"
"10/08/2024","417.00","406.70","417.20","406.00","324.42K","1.68%"
"10/07/2024","410.10","410.00","411.50","406.90","250.62K","0.12%"
"10/04/2024","409.60","406.50","413.00","404.60","305.46K","0.76%"
"10/03/2024","406.50","414.80","420.50","405.30","341.03K","-2.05%"
"10/02/2024","415.00","413.90","420.00","410.00","232.36K","0.27%"
