Date,Open,High,Low,Close,Volume
03/28/2025,"68.30","69.85","65.25","65.25","5,121,579"
03/27/2025,"72.80","75.95","67.05","68.70","6,000,751"
03/26/2025,"75.20","75.20","72.25","73.60","5,631,196"
03/25/2025,"73.40","77.90","72.25","72.85","1,911,692"
03/24/2025,"77.30","80.05","72.25","72.75","3,250,649"
03/21/2025,"76.50","78.30","74.40","76.30","5,111,446"
03/20/2025,"78.50","79.70","75.60","77.45","3,556,064"
03/19/2025,"78.00","79.10","76.90","77.70","2,166,695"
03/18/2025,"81.85","83.80","78.35","78.35","2,138,291"
03/17/2025,"81.75","83.20","80.20","80.95","1,531,093"
03/14/2025,"80.55","82.20","78.40","80.75","1,384,667"
03/13/2025,"80.80","80.80","77.65","80.80","2,608,596"
03/12/2025,"82.80","83.00","77.05","80.30","2,961,950"
03/11/2025,"82.00","85.45","80.55","81.95","1,839,221"
03/10/2025,"84.50","87.40","80.50","81.60","1,495,727"
03/07/2025,"85.80","87.25","81.10","84.00","2,419,645"
03/06/2025,"87.85","89.00","84.40","86.35","3,284,577"
03/05/2025,"78.20","87.45","78.10","86.00","4,052,503"
03/04/2025,"81.45","82.50","72.66","75.25","7,586,736"
03/03/2025,"83.30","85.25","79.55","82.85","3,884,328"
02/28/2025,"84.15","86.20","79.15","82.90","9,542,180"
02/27/2025,"95.00","96.70","84.40","85.00","14,933,040"
02/26/2025,"115.10","116.50","93.50","97.00","18,404,891"
02/25/2025,"112.60","113.60","110.00","110.20","2,527,119"
02/24/2025,"118.60","121.30","114.50","115.20","1,283,205"
02/21/2025,"115.40","122.00","113.50","119.00","2,677,345"
02/20/2025,"113.90","116.60","112.60","113.40","846,144"
02/19/2025,"116.10","117.20","113.80","114.50","814,720"
02/18/2025,"117.80","119.80","116.30","116.40","787,204"
02/17/2025,"112.30","119.90","111.87","118.90","2,369,142"
02/14/2025,"114.90","115.90","111.90","112.30","1,281,833"
02/13/2025,"113.20","115.80","112.80","114.50","2,316,361"
02/12/2025,"112.50","114.60","110.90","113.40","1,809,696"
02/11/2025,"113.00","113.70","109.00","112.40","1,795,954"
02/10/2025,"108.00","113.50","107.00","113.00","2,385,949"
02/07/2025,"112.00","114.90","106.80","107.80","2,232,240"
02/06/2025,"104.00","113.30","103.50","112.20","4,465,527"
02/05/2025,"104.40","104.90","102.23","104.10","1,103,600"
02/04/2025,"102.60","105.50","100.00","104.40","2,351,141"
02/03/2025,"102.00","103.90","97.05","103.70","7,503,089"
01/31/2025,"108.80","109.60","104.60","105.50","1,688,486"
01/30/2025,"106.10","109.90","105.40","108.40","1,113,476"
01/29/2025,"105.00","106.90","105.00","106.40","802,706"
01/28/2025,"105.80","108.90","105.00","106.00","1,014,079"
01/27/2025,"107.90","109.70","105.40","106.00","864,133"
