Date,Open,High,Low,Close,Volume
03/28/2025,"11.65","11.69","11.29","11.33","15,818,110"
03/27/2025,"11.68","11.91","11.46","11.81","37,994,422"
03/26/2025,"12.30","12.51","11.89","11.96","30,921,250"
03/25/2025,"12.41","12.42","12.26","12.40","11,601,630"
03/24/2025,"12.11","12.32","12.11","12.28","12,710,120"
03/21/2025,"11.95","12.12","11.94","12.07","14,538,400"
03/20/2025,"12.11","12.27","12.07","12.17","25,832,820"
03/19/2025,"12.54","12.75","12.51","12.67","6,514,879"
03/18/2025,"12.68","12.74","12.59","12.63","14,938,990"
03/17/2025,"12.44","12.60","12.41","12.57","12,009,360"
03/14/2025,"12.10","12.40","12.03","12.38","11,070,420"
03/13/2025,"11.99","12.05","11.82","11.83","19,391,801"
03/12/2025,"12.25","12.37","12.10","12.32","19,176,240"
03/11/2025,"12.82","12.84","12.20","12.48","27,470,289"
03/10/2025,"12.90","13.09","12.66","12.87","25,405,230"
03/07/2025,"12.47","12.86","12.44","12.73","19,774,740"
03/06/2025,"12.67","12.93","12.58","12.75","22,798,689"
03/05/2025,"12.58","13.00","12.47","12.89","25,205,141"
03/04/2025,"11.88","11.99","11.40","11.80","33,070,910"
03/03/2025,"13.04","13.14","12.22","12.34","24,619,221"
02/28/2025,"12.81","12.96","12.59","12.72","21,867,090"
02/27/2025,"12.80","12.83","12.56","12.56","16,523,369"
02/26/2025,"13.38","13.60","13.18","13.29","24,085,369"
02/25/2025,"14.25","14.28","13.90","14.03","15,918,640"
02/24/2025,"14.04","14.16","13.92","13.97","11,899,660"
02/21/2025,"14.22","14.23","13.90","13.94","8,185,669"
02/20/2025,"13.96","14.12","13.87","14.11","6,728,787"
02/19/2025,"13.99","14.03","13.84","13.91","8,701,564"
02/18/2025,"14.18","14.22","14.10","14.21","7,417,775"
02/14/2025,"14.03","14.19","13.98","14.05","12,555,730"
02/13/2025,"13.71","13.91","13.06","13.53","24,495,689"
02/12/2025,"13.10","13.34","13.07","13.29","14,089,330"
02/11/2025,"13.07","13.16","13.03","13.09","7,787,117"
02/10/2025,"12.98","13.05","12.92","12.97","5,558,744"
02/07/2025,"13.07","13.13","12.83","12.94","12,958,510"
02/06/2025,"13.15","13.15","12.92","12.94","12,975,780"
02/05/2025,"13.01","13.08","12.93","12.93","8,996,869"
02/04/2025,"12.95","13.15","12.93","13.14","9,283,970"
02/03/2025,"12.52","12.87","12.39","12.62","18,099,400"
01/31/2025,"13.37","13.65","12.99","13.13","16,067,750"
01/30/2025,"13.65","13.71","13.34","13.52","9,740,098"
01/29/2025,"13.35","13.44","13.30","13.36","7,546,344"
01/28/2025,"13.58","13.58","13.19","13.35","15,083,160"
01/27/2025,"13.53","13.67","13.53","13.66","8,846,528"
01/24/2025,"13.47","13.50","13.37","13.41","8,345,956"
01/23/2025,"13.19","13.25","13.13","13.24","6,958,890"
01/22/2025,"13.20","13.22","13.11","13.11","8,184,580"
01/21/2025,"13.19","13.24","13.10","13.22","6,044,783"
01/17/2025,"13.01","13.13","12.82","12.88","9,025,908"
01/16/2025,"12.74","12.74","12.49","12.56","7,835,260"
01/15/2025,"12.70","12.81","12.64","12.75","6,857,169"
01/14/2025,"12.52","12.56","12.39","12.45","11,673,070"
01/13/2025,"12.28","12.36","12.22","12.33","7,318,625"
01/10/2025,"12.74","12.75","12.51","12.53","6,398,818"
01/08/2025,"12.84","12.85","12.72","12.77","9,259,138"
01/07/2025,"13.27","13.35","13.10","13.11","8,232,194"
01/06/2025,"13.08","13.23","12.97","13.00","12,112,120"
01/03/2025,"12.49","12.59","12.41","12.53","8,469,760"
01/02/2025,"12.96","13.02","12.76","12.78","8,668,651"
12/31/2024,"13.11","13.24","13.02","13.05","6,214,498"
12/30/2024,"13.11","13.13","12.98","13.04","8,086,840"
12/27/2024,"13.04","13.17","13.02","13.07","5,267,875"
12/26/2024,"13.00","13.14","12.97","13.02","4,529,491"
12/24/2024,"12.91","13.07","12.89","13.07","1,991,139"
12/23/2024,"12.73","12.92","12.72","12.91","5,567,537"
12/20/2024,"12.70","12.98","12.68","12.89","6,840,861"
12/19/2024,"13.03","13.07","12.80","12.84","6,674,308"
12/18/2024,"13.30","13.43","12.78","12.81","8,628,841"
12/17/2024,"13.40","13.49","13.31","13.35","10,273,980"
12/16/2024,"13.36","13.43","13.15","13.18","13,863,820"
12/13/2024,"13.99","14.00","13.85","13.95","9,559,824"
12/12/2024,"13.84","13.96","13.71","13.71","5,589,284"
12/11/2024,"13.92","13.93","13.74","13.83","8,752,945"
12/10/2024,"13.94","13.98","13.77","13.89","12,271,830"
12/09/2024,"13.92","14.08","13.70","13.73","10,853,350"
12/06/2024,"13.69","13.71","13.45","13.65","17,147,330"
12/05/2024,"13.29","13.39","13.19","13.24","11,732,370"
12/04/2024,"12.84","12.84","12.64","12.73","8,226,245"
12/03/2024,"12.59","12.63","12.51","12.51","12,518,570"
12/02/2024,"12.27","12.39","12.12","12.37","23,214,480"
11/29/2024,"13.00","13.23","12.99","13.20","4,756,244"
11/27/2024,"12.63","12.84","12.63","12.79","6,365,627"
11/26/2024,"12.93","12.94","12.58","12.61","14,663,170"
11/25/2024,"13.31","13.55","13.30","13.37","10,557,910"
11/22/2024,"12.73","13.17","12.73","13.05","12,220,830"
11/21/2024,"12.68","12.91","12.68","12.85","7,018,150"
11/20/2024,"12.91","12.93","12.79","12.85","7,115,022"
11/19/2024,"12.91","13.17","12.83","13.05","8,858,057"
11/18/2024,"13.25","13.44","13.24","13.39","4,524,679"
11/15/2024,"13.39","13.47","13.32","13.34","5,883,443"
11/14/2024,"13.45","13.61","13.34","13.37","9,046,586"
