"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"31.03.2025","95,68","97,50","98,40","95,68","34,84K","-3,60%"
"28.03.2025","99,25","101,30","102,90","98,90","88,34K","-2,70%"
"27.03.2025","102,00","99,95","102,50","98,80","97,83K","-1,26%"
"26.03.2025","103,30","106,00","106,00","103,30","32,42K","-1,53%"
"25.03.2025","104,90","104,80","105,80","104,10","37,84K","0,87%"
"24.03.2025","104,00","105,80","105,80","103,70","42,79K","0,29%"
"21.03.2025","103,70","105,00","105,50","102,70","86,02K","-1,52%"
"20.03.2025","105,30","109,60","110,40","104,80","72,88K","-3,75%"
"19.03.2025","109,40","111,20","111,60","109,10","46,04K","-1,53%"
"18.03.2025","111,10","111,30","112,80","111,00","48,64K","0,36%"
"17.03.2025","110,70","110,90","112,90","110,20","66,56K","0,91%"
"14.03.2025","109,70","109,40","112,30","107,90","57,34K","-0,18%"
"13.03.2025","109,90","111,70","112,10","108,90","62,49K","-2,14%"
"12.03.2025","112,30","111,80","112,30","109,20","74,44K","0,90%"
"11.03.2025","111,30","111,80","116,70","108,90","197,14K","-1,33%"
"10.03.2025","112,80","112,80","113,60","110,30","87,73K","1,62%"
"07.03.2025","111,00","111,60","112,40","110,20","64,26K","-0,98%"
"06.03.2025","112,10","110,00","112,60","109,70","86,71K","3,89%"
"05.03.2025","107,90","107,20","110,60","106,70","95,57K","3,35%"
"04.03.2025","104,40","107,10","107,30","103,40","69,54K","-4,22%"
"03.03.2025","109,00","106,60","112,70","106,60","83,65K","1,77%"
"28.02.2025","107,10","106,40","108,80","106,00","76,15K","-0,09%"
"27.02.2025","107,20","105,30","107,80","104,40","63,32K","-1,56%"
"26.02.2025","108,90","108,00","109,00","107,30","60,15K","1,40%"
"25.02.2025","107,40","103,90","108,40","103,60","75,39K","2,48%"
"24.02.2025","104,80","104,10","104,90","102,70","67,19K","2,34%"
"21.02.2025","102,40","101,30","102,60","101,30","44,60K","1,09%"
"20.02.2025","101,30","100,60","102,50","100,60","41,51K","-0,10%"
"19.02.2025","101,40","104,20","104,30","101,30","58,53K","-2,78%"
"18.02.2025","104,30","104,70","104,90","103,50","29,91K","0,10%"
"17.02.2025","104,20","104,00","104,50","103,40","35,47K","0,58%"
"14.02.2025","103,60","102,20","104,90","102,00","66,43K","0,58%"
"13.02.2025","103,00","98,50","103,80","98,45","144,24K","6,30%"
"12.02.2025","96,90","96,40","97,50","96,00","37,08K","0,52%"
"11.02.2025","96,40","97,55","97,80","95,20","39,07K","-1,28%"
"10.02.2025","97,65","96,50","98,30","96,50","51,29K","1,24%"
"07.02.2025","96,45","98,05","99,65","96,00","43,35K","-2,28%"
"06.02.2025","98,70","95,85","99,25","95,35","45,60K","3,03%"
"05.02.2025","95,80","96,95","97,45","94,35","48,63K","-1,44%"
"04.02.2025","97,20","97,00","98,00","95,90","46,36K","0,21%"
"03.02.2025","97,00","96,35","97,30","93,95","152,48K","-4,34%"
